transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
9785,72,1,1/5/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873
13424,2,1,2/21/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573
14486,23,1,3/27/2017,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455
18970,11,1,3/29/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378
3765,38,1,4/6/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,39526
5157,47,1,5/11/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,37823
13644,25,1,5/19/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552
15663,32,1,6/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618
16423,9,1,12/9/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,37838
14931,31,1,12/14/2017,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337
94,86,1,12/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482
2261,1,2,5/4/2017,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784
6743,85,2,6/11/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,38206
16411,26,2,8/24/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,37337
10302,33,3,2/23/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,41009
15188,82,3,3/24/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,37499
12954,77,3,4/5/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,36833
11784,55,3,4/21/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,41701
16725,90,3,6/26/2017,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,40303
13285,47,3,9/4/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,40303
11005,94,3,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41009
19498,5,3,9/19/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,36145
12441,95,4,4/3/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
14648,62,4,6/18/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
2291,23,5,3/3/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244
19993,13,5,4/28/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,39880
2534,84,5,5/3/2017,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,37626
13058,96,5,5/26/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,33364
2250,34,5,8/16/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526
7692,39,5,12/14/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,39526
7096,77,6,1/28/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848
8204,12,6,2/6/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
902,0,6,5/21/2017,0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364
4013,0,6,9/16/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,36361
5749,54,6,10/27/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,40410
18369,72,7,2/18/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37499
18549,22,7,2/24/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42404
3954,5,7,4/21/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258
10792,89,8,1/4/2017,1,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,42560
19844,3,8,1/28/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823
8415,76,8,4/11/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482
15024,1,8,4/21/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,35667
7636,34,8,7/13/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,41064
17199,45,8,8/11/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,42172
3688,15,8,9/22/2017,1,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345
13266,4,8,10/4/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
9039,4,8,10/21/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
5321,3,8,12/8/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37823
8591,69,9,2/4/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922
2979,85,9,3/6/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,36367
2501,59,9,5/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,42172
9405,6,9,8/20/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701
10662,38,9,9/30/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40336
4233,36,9,10/13/2017,0,Approved,Solex,Standard,low,medium,945.04,507.58,40336
